reviewed,origin,predicted_label,chosen_match,best_match,ontology_id,confidence,timestamp
False,ground_truth:hiha,ASDC,obsolete pstO/ALC,obsolete pstO/ALC,CL:0000283,0.2968121170997619,2026-03-09T10:55:38+00:00
True,scsa:human_pancreas,Acinar cell,acinar cell,acinar cell,CL:0000622,1.0,2026-03-09T10:19:37+00:00
True,scsa:human_pancreas,Alpha cell (α cell),pancreatic A cell,mature alpha-beta T cell,CL:0000171,0.595691442489624,2026-03-09T10:24:55+00:00
True,scsa:tabula_sapiens,Astrocyte,astrocyte,astrocyte,CL:0000127,1.0,2026-03-09T11:37:52+00:00
True,scsa:hiha,B cell,B cell,B cell,CL:0000236,1.0,2026-03-09T10:54:44+00:00
True,scsa:human_pancreas,Beta cell(β cell),type B pancreatic cell,mature alpha-beta T cell,CL:0000169,0.6280288696289062,2026-03-09T10:25:40+00:00
False,ground_truth:hiha,CD14 monocyte,"CD14-low, CD16-positive monocyte","CD14-low, CD16-positive monocyte",CL:0002396,0.7890795469284058,2026-03-09T10:55:38+00:00
False,ground_truth:hiha,CD16 monocyte,"CD14-low, CD16-positive monocyte","CD14-low, CD16-positive monocyte",CL:0002396,0.7665576338768005,2026-03-09T10:55:38+00:00
False,ground_truth:hiha,CD56bright NK cell,"mature NK T cell, human","mature NK T cell, human",CL:4052055,0.7154649496078491,2026-03-09T10:55:38+00:00
False,ground_truth:hiha,CD56dim NK cell,"mature NK T cell, human","mature NK T cell, human",CL:4052055,0.8018403053283691,2026-03-09T10:55:38+00:00
False,scsa:hiha,CD8+ T cell,"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell",CL:0000909,0.666529655456543,2026-03-09T10:55:03+00:00
False,ground_truth:hiha,CD8aa,CD8aa(I) thymocyte,CD8aa(I) thymocyte,CL:0009068,0.5361498594284058,2026-03-09T10:55:38+00:00
True,scsa:tabula_sapiens,Cardiomyocyte,cardiac muscle cell,cardiac muscle cell,CL:0000746,1.0,2026-03-09T11:37:52+00:00
False,scsa:tabula_sapiens,Club cell (Clara cell),club cell,club cell,CL:0000158,0.5874000191688538,2026-03-09T11:38:10+00:00
False,ground_truth:hiha,DC,CD1a-positive dermal dendritic cell,CD1a-positive dermal dendritic cell,CL:0002529,0.2905001044273376,2026-03-09T10:55:20+00:00
False,ground_truth:hiha,DN T cell,DN1 thymic pro-T cell,DN1 thymic pro-T cell,CL:0000894,0.6491506099700928,2026-03-09T10:55:38+00:00
True,scsa:hiha,Dendritic cell,dendritic cell,dendritic cell,CL:0000451,1.0,2026-03-09T10:54:44+00:00
True,ground_truth:hiha,Effector B cell,plasma cell,plasma cell,CL:0000786,1.0,2026-03-09T10:55:22+00:00
True,scsa:human_pancreas,Endothelial cell,endothelial cell,endothelial cell,CL:0000115,1.0,2026-03-09T10:19:37+00:00
True,scsa:human_pancreas,Epithelial cell,epithelial cell,epithelial cell,CL:0000066,1.0,2026-03-09T10:19:37+00:00
True,ground_truth:hiha,Erythrocyte,erythrocyte,erythrocyte,CL:0000232,1.0,2026-03-09T10:55:04+00:00
True,scsa:human_pancreas,Fibroblast,fibroblast,fibroblast,CL:0000057,1.0,2026-03-09T10:19:37+00:00
True,scsa:tabula_sapiens,Hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,2026-03-09T11:37:52+00:00
False,ground_truth:hiha,ILC,"ILC1, human","ILC1, human",CL:0001077,0.5086992383003235,2026-03-09T10:55:20+00:00
True,ground_truth:hiha,Intermediate monocyte,intermediate monocyte,intermediate monocyte,CL:0002393,1.0,2026-03-09T10:55:22+00:00
True,ground_truth:hiha,MAIT,mucosal-associated invariant T cell,mucosal-associated invariant T cell,CL:0000940,1.0,2026-03-09T10:55:22+00:00
True,scsa:human_pancreas,Macrophage,macrophage,macrophage,CL:0000235,1.0,2026-03-09T10:19:37+00:00
True,scsa:tabula_sapiens,Mast cell,mast cell,mast cell,CL:0000097,1.0,2026-03-09T11:37:52+00:00
True,scsa:hiha,Megakaryocyte,megakaryocyte,megakaryocyte,CL:0000556,1.0,2026-03-09T10:54:44+00:00
True,ground_truth:hiha,Memory B cell,memory B cell,memory B cell,CL:0000787,1.0,2026-03-09T10:55:22+00:00
False,ground_truth:hiha,Memory CD4 T cell,"CD4-positive, alpha-beta memory T cell","CD4-positive, alpha-beta memory T cell",CL:0000897,0.7458236217498779,2026-03-09T10:55:38+00:00
False,ground_truth:hiha,Memory CD8 T cell,"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell",CL:0000909,0.7331592440605164,2026-03-09T10:55:38+00:00
True,scsa:tabula_sapiens,Microglial cell,microglial cell,microglial cell,CL:0000129,1.0,2026-03-09T11:37:52+00:00
True,scsa:human_pancreas,Monocyte,monocyte,monocyte,CL:0000576,1.0,2026-03-09T10:19:37+00:00
True,ground_truth:hiha,NK cell,natural killer cell,natural killer cell,CL:0000623,1.0,2026-03-09T10:55:04+00:00
True,ground_truth:hiha,Naive B cell,naive B cell,naive B cell,CL:0000788,1.0,2026-03-09T10:55:22+00:00
False,ground_truth:hiha,Naive CD4 T cell,naive CCR4-positive regulatory T cell,naive CCR4-positive regulatory T cell,CL:0001045,0.6785204410552979,2026-03-09T10:55:38+00:00
False,ground_truth:hiha,Naive CD8 T cell,"naive thymus-derived CD8-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,0.6883248686790466,2026-03-09T10:55:38+00:00
True,scsa:hiha,Naive CD8+ T cell,"naive thymus-derived CD8-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,1.0,2026-03-09T10:54:44+00:00
True,scsa:hiha,Natural killer cell,natural killer cell,natural killer cell,CL:0000623,1.0,2026-03-09T10:54:44+00:00
True,scsa:human_pancreas,Neuron,neuron,neuron,CL:0000540,1.0,2026-03-09T10:19:37+00:00
True,ground_truth:hiha,Plasma cell,plasma cell,plasma cell,CL:0000786,1.0,2026-03-09T10:55:22+00:00
False,scsa:hiha,Plasmacytoid dendritic cell(pDC),CD8-alpha-negative plasmacytoid dendritic cell,CD8-alpha-negative plasmacytoid dendritic cell,CL:0002455,0.715168833732605,2026-03-09T10:55:03+00:00
True,ground_truth:hiha,Platelet,platelet,platelet,CL:0000233,1.0,2026-03-09T10:55:04+00:00
True,ground_truth:hiha,Progenitor cell,progenitor cell,progenitor cell,CL:0011026,1.0,2026-03-09T10:55:04+00:00
False,ground_truth:hiha,Proliferating NK cell,"mature NK T cell, human","mature NK T cell, human",CL:4052055,0.6645169258117676,2026-03-09T10:55:38+00:00
True,ground_truth:hiha,Proliferating T cell,cycling T cell,cycling T cell,CL:4033069,1.0,2026-03-09T10:55:22+00:00
False,scsa:hiha,Red blood cell (erythrocyte),erythrocyte,erythrocyte,CL:0000232,0.8086950778961182,2026-03-09T10:55:03+00:00
False,scsa:hiha,Regulatory T(Treg) cell,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","CD4-positive, CD25-positive, alpha-beta regulatory T cell",CL:0000792,0.6912065744400024,2026-03-09T10:55:03+00:00
False,scsa:tabula_sapiens,Rod cell,rod bipolar cell (sensu Mus),rod bipolar cell (sensu Mus),CL:0008027,0.5466063618659973,2026-03-09T11:38:10+00:00
True,scsa:tabula_sapiens,Smooth muscle cell,smooth muscle cell,smooth muscle cell,CL:0000192,1.0,2026-03-09T11:37:52+00:00
True,scsa:hiha,T cell,T cell,T cell,CL:0000084,1.0,2026-03-09T10:54:44+00:00
True,ground_truth:hiha,Transitional B cell,transitional stage B cell,transitional stage B cell,CL:0000818,1.0,2026-03-09T10:55:22+00:00
True,ground_truth:hiha,Treg,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","CD4-positive, CD25-positive, alpha-beta regulatory T cell",CL:0000792,1.0,2026-03-09T10:55:22+00:00
False,scsa:tabula_sapiens,Unknown,obsolete melanocyte of foreskin,obsolete melanocyte of foreskin,CL:2000082,0.1753180623054504,2026-03-09T11:38:10+00:00
True,ground_truth:human_pancreas,acinar,acinar cell,acinar cell,CL:0000622,0.5540295839309692,2026-03-09T10:25:46+00:00
True,ground_truth:tabula_sapiens,acinar cell of salivary gland,acinar cell of salivary gland,acinar cell of salivary gland,CL:0002623,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,activated_stellate,pancreatic stellate cell,stellate neuron,CL:0002410,0.402959793806076,2026-03-09T10:27:19+00:00
True,ground_truth:tabula_sapiens,adipocyte,adipocyte,adipocyte,CL:0000136,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,adventitial cell,pericyte,pericyte,CL:0000669,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,alpha,pancreatic A cell,kidney connecting tubule alpha-intercalated cell,CL:0000171,0.3454292118549347,2026-03-09T10:27:32+00:00
True,ground_truth:tabula_sapiens,alveolar fibroblast,alveolar type 1 fibroblast cell,alveolar type 1 fibroblast cell,CL:4028004,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,artery endothelial cell,endothelial cell of artery,endothelial cell of artery,CL:1000413,0.8862574696540833,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,b cell,B cell,B cell,CL:0000236,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,basal cell,basal cell,basal cell,CL:0000646,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,basal cell of prostate epithelium,basal cell of prostate epithelium,basal cell of prostate epithelium,CL:0002341,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,basophil,basophil,basophil,CL:0000767,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,beta,type B pancreatic cell,mature alpha-beta T cell,CL:0000169,0.3556020259857178,2026-03-09T10:27:44+00:00
True,ground_truth:tabula_sapiens,bladder urothelial cell,bladder urothelial cell,bladder urothelial cell,CL:1001428,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,bronchial smooth muscle cell,bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,bronchial vessel endothelial cell,bronchial epithelial cell,bronchial epithelial cell,CL:0002328,0.7041903734207153,2026-03-09T11:38:27+00:00
False,ground_truth:hiha,cDC1,DN1 thymic pro-T cell,DN1 thymic pro-T cell,CL:0000894,0.4026080071926117,2026-03-09T10:55:38+00:00
False,ground_truth:hiha,cDC2,"CD27-high, CD11b-low natural killer cell, mouse","CD27-high, CD11b-low natural killer cell, mouse",CL:0002349,0.35222989320755,2026-03-09T10:55:38+00:00
False,ground_truth:tabula_sapiens,capillary aerocyte,pulmonary capillary endothelial cell,pulmonary capillary endothelial cell,CL:4028001,0.48126518726348877,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,capillary endothelial cell,capillary endothelial cell,capillary endothelial cell,CL:0002144,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,cardiac endothelial cell,cardiac endothelial cell,cardiac endothelial cell,CL:0010008,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,cardiac muscle cell,cardiac muscle cell,cardiac muscle cell,CL:0000746,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,cd141-positive myeloid dendritic cell,CD141-positive myeloid dendritic cell,CD141-positive myeloid dendritic cell,CL:0002394,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,cd1c-positive myeloid dendritic cell,CD1c-positive myeloid dendritic cell,CD1c-positive myeloid dendritic cell,CL:0002399,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,cd24 neutrophil,mature neutrophil,mature neutrophil,CL:0000096,0.6110255718231201,2026-03-09T11:38:27+00:00
False,ground_truth:tabula_sapiens,cd4-positive alpha-beta t cell,"activated CD4-positive, alpha-beta T cell","activated CD4-positive, alpha-beta T cell",CL:0000896,0.8423400521278381,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,cd4-positive helper t cell,CD4-positive helper T cell,CD4-positive helper T cell,CL:0000492,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,"cd4-positive, alpha-beta memory t cell","CD4-positive, alpha-beta memory T cell","CD4-positive, alpha-beta memory T cell",CL:0000897,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,"cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta T cell",CL:0000624,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,cd8-positive alpha-beta t cell,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",CL:0000625,0.8520128726959229,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,"cd8-positive, alpha-beta cytokine secreting effector t cell","CD8-positive, alpha-beta cytokine secreting effector T cell","CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,"cd8-positive, alpha-beta cytotoxic t cell","CD8-positive, alpha-beta cytotoxic T cell","CD8-positive, alpha-beta cytotoxic T cell",CL:0000794,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,"cd8-positive, alpha-beta memory t cell","CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell",CL:0000909,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,"cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",CL:0000625,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,cd8b-positive nk t cell,CD4-positive type I NK T cell,CD4-positive type I NK T cell,CL:0000923,0.7308414578437805,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,ciliated cell,ciliated cell,ciliated cell,CL:0000064,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,classical monocyte,classical monocyte,classical monocyte,CL:0000860,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,club cell,club cell,club cell,CL:0000158,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,club cell of prostate epithelium,epithelial cell of prostate,epithelial cell of prostate,CL:0002231,0.7901608943939209,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,conjunctival epithelial cell,conjunctival epithelial cell,conjunctival epithelial cell,CL:1000432,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,connective tissue cell,connective tissue cell,connective tissue cell,CL:0002320,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,corneal epithelial cell,corneal epithelial cell,corneal epithelial cell,CL:0000575,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,corneal keratocyte,keratocyte,keratocyte,CL:0002363,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,delta,retinal ganglion cell C1,retinal ganglion cell C1,CL:0004124,1.0,2026-03-09T10:19:56+00:00
True,ground_truth:tabula_sapiens,dendritic cell,dendritic cell,dendritic cell,CL:0000451,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,dn1 thymic pro-t cell,DN1 thymic pro-T cell,DN1 thymic pro-T cell,CL:0000894,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,dn3 thymocyte,DN3 thymocyte,DN3 thymocyte,CL:0000807,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,dn4 thymocyte,DN4 thymocyte,DN4 thymocyte,CL:0000808,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,duct epithelial cell,duct epithelial cell,duct epithelial cell,CL:0000068,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,ductal,pancreatic ductal cell,adventitial cell,CL:0002079,0.5782637000083923,2026-03-09T10:27:55+00:00
False,ground_truth:tabula_sapiens,duodenum glandular cell,duodenum secretory cell,duodenum secretory cell,CL:1001589,0.7667294144630432,2026-03-09T11:38:27+00:00
True,ground_truth:human_pancreas,endothelial,endothelial cell,endothelial cell of artery,CL:0000115,0.7373185753822327,2026-03-09T10:28:06+00:00
True,ground_truth:tabula_sapiens,endothelial cell,endothelial cell,endothelial cell,CL:0000115,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,endothelial cell of artery,endothelial cell of artery,endothelial cell of artery,CL:1000413,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,CL:1000398,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,endothelial cell of vascular tree,endothelial cell of vascular tree,endothelial cell of vascular tree,CL:0002139,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,enterocyte of epithelium of large intestine,enterocyte of epithelium of large intestine,enterocyte of epithelium of large intestine,CL:0002071,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,enterocyte of epithelium of small intestine,enterocyte of epithelium of small intestine,enterocyte of epithelium of small intestine,CL:1000334,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,epithelial cell,epithelial cell,epithelial cell,CL:0000066,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,epithelial cell of lacrimal sac,epithelial cell of lacrimal sac,epithelial cell of lacrimal sac,CL:1000436,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,epithelial cell of uterus,epithelial cell of uterus,epithelial cell of uterus,CL:0002149,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,epsilon,retinal ganglion cell C3,retinal ganglion cell C3,CL:0003025,1.0,2026-03-09T10:19:56+00:00
True,ground_truth:tabula_sapiens,erythrocyte,erythrocyte,erythrocyte,CL:0000232,1.0,2026-03-09T11:38:11+00:00
